index,latitud,longitud,provincia,edad,sexo,motivo_desaparicion,motivo_desaparicion_obs,fecha_desaparicion,situacion_actual,fecha_localizacion,year,month,day,days_gone,age_group,parishId,cantonId,provinceId
1246,-2.19761148,-79.90684014,GUAYAS,20,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-19,ENCONTRADO,2023-06-06,2023,5,19,18,18-35,090150,0901,09
1247,-2.14375403,-79.91997742,GUAYAS,33,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-20,ENCONTRADO,2023-05-21,2023,5,20,1,18-35,090150,0901,09
1248,-2.886385,-78.7759559,AZUAY,17,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-06-13,ENCONTRADO,2023-06-18,2023,6,13,5,13-17,010350,0103,01
1249,-1.00660943,-78.61725127,COTOPAXI,26,HOMBRE,PROBLEMAS SOCIALES,DELINCUENCIA,2023-09-30,ENCONTRADO,2023-10-01,2023,9,30,1,18-35,050450,0504,05
1250,-2.7957205,-78.7674562,AZUAY,15,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-09-24,ENCONTRADO,2023-10-03,2023,9,24,9,13-17,010550,0105,01
1251,0.116667,-79.266667,PICHINCHA,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-02-03,ENCONTRADO,2023-05-19,2023,2,3,105,13-17,170950,1709,17
1252,-2.886385,-78.7759559,AZUAY,14,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-17,ENCONTRADO,2023-05-22,2023,5,17,5,13-17,010350,0103,01
1253,-2.1832701,-79.9122738,GUAYAS,17,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-26,ENCONTRADO,2023-03-02,2023,2,26,4,13-17,090150,0901,09
1254,-2.886385,-78.7759559,AZUAY,1,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-06-13,ENCONTRADO,2023-06-18,2023,6,13,5,12 o menos,010350,0103,01
1255,-2.9231693,-79.0659601,AZUAY,20,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-04-29,ENCONTRADO,2023-05-22,2023,4,29,23,18-35,010151,0101,01
1256,-2.8870218,-78.9641763,AZUAY,17,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-06-04,ENCONTRADO,2023-06-20,2023,6,4,16,13-17,010150,0101,01
1257,-1.3128375,-78.5064473,TUNGURAHUA,34,HOMBRE,PROBLEMAS SOCIALES,ALCOHOLISMO,2023-06-13,ENCONTRADO,2023-06-16,2023,6,13,3,18-35,180550,1805,18
1258,0.3588704,-78.11720789,IMBABURA,19,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-05-16,ENCONTRADO,2023-05-20,2023,5,16,4,18-35,100150,1001,10
1259,-3.24787343,-79.96647835,EL ORO,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-05-17,ENCONTRADO,2023-05-21,2023,5,17,4,13-17,070150,0701,07
1260,-1.2080043,-78.6030584,TUNGURAHUA,57,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-19,ENCONTRADO,2023-03-21,2023,3,19,2,36-64,180152,1801,18
1261,-1.27176774,-78.73576654,TUNGURAHUA,17,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-12,ENCONTRADO,2023-03-22,2023,3,12,10,13-17,180159,1801,18
1262,-0.26917606,-78.53958607,PICHINCHA,18,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-05-19,ENCONTRADO,2023-05-21,2023,5,19,2,18-35,170150,1701,17
1263,-0.23785869,-78.49007147,PICHINCHA,45,MUJER,PROBLEMAS SOCIALES,DELINCUENCIA,2023-05-19,ENCONTRADO,2023-05-19,2023,5,19,0,36-64,170150,1701,17
1264,-1.0423411,-79.4730302,LOS RIOS,16,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-02-28,ENCONTRADO,2023-03-05,2023,2,28,5,13-17,120550,1205,12
1265,-2.254866,-79.8794799,GUAYAS,41,HOMBRE,FALLECIDO,NO DETERMINADA,2023-03-18,FALLECIDO,2023-03-27,2023,3,18,9,36-64,090150,0901,09
1266,-2.8868758,-78.9988835,AZUAY,16,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-21,ENCONTRADO,2023-03-23,2023,2,21,30,13-17,010150,0101,01
1267,-0.0940492,-78.4510101,PICHINCHA,17,HOMBRE,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-05-13,ENCONTRADO,2023-05-16,2023,5,13,3,13-17,170155,1701,17
1268,-2.8912186,-78.7780825,AZUAY,69,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-04-09,ENCONTRADO,2023-04-12,2023,4,9,3,65 o mas,010350,0103,01
1269,-2.10355818,-79.95642662,GUAYAS,13,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-19,ENCONTRADO,2023-05-22,2023,5,19,3,13-17,090150,0901,09
1270,-0.08862,-78.4631169,PICHINCHA,17,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-07-05,ENCONTRADO,2023-07-08,2023,7,5,3,13-17,170150,1701,17
1271,-0.1224086,-78.4652483,PICHINCHA,4,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-04,ENCONTRADO,2023-05-20,2023,5,4,16,12 o menos,170150,1701,17
1272,-0.1224086,-78.4652483,PICHINCHA,7,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-04,ENCONTRADO,2023-05-20,2023,5,4,16,12 o menos,170150,1701,17
1273,-0.1224086,-78.4652483,PICHINCHA,28,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-04,ENCONTRADO,2023-05-20,2023,5,4,16,18-35,170150,1701,17
1274,-2.3074378,-78.1202307,MORONA SANTIAGO,13,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-07-06,ENCONTRADO,2023-07-07,2023,7,6,1,13-17,140150,1401,14
1275,-1.0336635,-79.4506989,LOS RIOS,23,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-12,ENCONTRADO,2023-03-16,2023,3,12,4,18-35,120550,1205,12
1276,-1.0336635,-79.4506989,LOS RIOS,5,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-12,ENCONTRADO,2023-03-16,2023,3,12,4,12 o menos,120550,1205,12
1277,-1.1650467,-77.8553089,NAPO,15,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-01-06,ENCONTRADO,2023-03-02,2023,1,6,55,13-17,150950,1509,15
1278,-0.26146321,-79.13953999,SANTO DOMINGO DE LOS TSACHILAS,16,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-24,ENCONTRADO,2023-02-25,2023,2,24,1,13-17,230150,2301,23
1279,-1.87983678,-80.08949965,GUAYAS,58,HOMBRE,FALLECIDO,ACCIDENTAL,2023-02-16,FALLECIDO,2023-02-18,2023,2,16,2,36-64,092450,0924,09
1280,-1.82676377,-80.2327538,GUAYAS,37,HOMBRE,FALLECIDO,ACCIDENTAL,2023-02-19,FALLECIDO,2023-02-23,2023,2,19,4,36-64,091450,0914,09
1281,-2.3074378,-78.1202307,MORONA SANTIAGO,19,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-19,ENCONTRADO,2023-03-22,2023,3,19,3,18-35,140150,1401,14
1282,-2.14873613,-79.83153182,GUAYAS,45,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-08-02,ENCONTRADO,2023-10-14,2023,8,2,73,36-64,090750,0907,09
1283,-0.2179738,-78.5219183,PICHINCHA,91,HOMBRE,EXTRAVIADA,PERSONA EXTRAVIADA,2023-05-19,ENCONTRADO,2023-05-19,2023,5,19,0,65 o mas,170150,1701,17
1284,-2.8879058,-79.0225907,AZUAY,16,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-05-12,ENCONTRADO,2023-05-22,2023,5,12,10,13-17,010150,0101,01
1285,-3.38264391,-79.91102208,EL ORO,16,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-22,ENCONTRADO,2023-03-29,2023,3,22,7,13-17,070152,0701,07
1286,-2.2028553,-79.9116221,GUAYAS,36,HOMBRE,FALLECIDO,NO DETERMINADA,2023-03-10,FALLECIDO,2023-03-13,2023,3,10,3,36-64,090150,0901,09
1287,-2.16790905,-79.80314255,GUAYAS,12,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-27,ENCONTRADO,2023-03-29,2023,2,27,30,12 o menos,090750,0907,09
1288,-2.19000725,-79.89161984,GUAYAS,16,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-06-15,ENCONTRADO,2023-06-17,2023,6,15,2,13-17,090150,0901,09
1289,-1.09636476,-80.41223045,MANABI,19,HOMBRE,PROBLEMAS SOCIALES,DROGADICCION,2023-03-20,ENCONTRADO,2023-03-25,2023,3,20,5,18-35,130150,1301,13
1290,-2.17107197,-79.89456402,GUAYAS,24,HOMBRE,PROBLEMAS SOCIALES,DELINCUENCIA,2023-05-18,ENCONTRADO,2023-05-20,2023,5,18,2,18-35,090150,0901,09
1291,-0.23916269,-79.15936911,SANTO DOMINGO DE LOS TSACHILAS,56,MUJER,PROBLEMAS SOCIALES,DELINCUENCIA,2023-06-17,ENCONTRADO,2023-06-20,2023,6,17,3,36-64,230150,2301,23
1292,-2.99685808,-79.78805773,GUAYAS,19,MUJER,SIN_DATO,SIN_DATO,2023-08-03,DESAPARECIDO,NA,2023,8,3,NA,18-35,090158,0901,09
1293,0.2287994,-78.2613856,IMBABURA,20,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-07-07,ENCONTRADO,2023-07-09,2023,7,7,2,18-35,100450,1004,10
1294,-1.65649526,-78.67110014,CHIMBORAZO,15,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-22,ENCONTRADO,2023-03-25,2023,3,22,3,13-17,060150,0601,06
1295,-2.7957205,-78.7674562,AZUAY,22,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-04-13,ENCONTRADO,2023-06-05,2023,4,13,53,18-35,010550,0105,01
1296,-0.8627453,-80.5299541,MANABI,20,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-03,ENCONTRADO,2023-02-16,2023,2,3,13,18-35,130153,1301,13
1297,-2.0940356,-79.6915809,GUAYAS,13,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-05-15,ENCONTRADO,2023-06-18,2023,5,15,34,13-17,092050,0920,09
1298,-0.22777797,-78.50979565,PICHINCHA,14,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-07-05,ENCONTRADO,2023-07-10,2023,7,5,5,13-17,170150,1701,17
1299,-0.1806532,-78.4678382,PICHINCHA,6,MUJER,SIN_DATO,SIN_DATO,2023-05-02,DESAPARECIDO,NA,2023,5,2,NA,12 o menos,170150,1701,17
1300,-2.2016579,-79.8870146,GUAYAS,65,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-21,ENCONTRADO,2023-04-28,2023,2,21,66,65 o mas,090150,0901,09
1301,-2.24778132,-78.14267636,MORONA SANTIAGO,11,HOMBRE,PROBLEMAS PSICOL�GICOS,PROBLEMAS DE CONDUCTA,2023-03-21,ENCONTRADO,2023-03-23,2023,3,21,2,12 o menos,140153,1401,14
1302,-1.38131837,-78.60686184,TUNGURAHUA,17,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-04-29,ENCONTRADO,2023-10-02,2023,4,29,156,13-17,180650,1806,18
1303,-2.21509561,-79.91510053,GUAYAS,14,MUJER,PROBLEMAS FAMILIARES,MALTRATO FISICO,2023-08-08,ENCONTRADO,2023-08-29,2023,8,8,21,13-17,090150,0901,09
1304,-1.734615,-78.7646228,CHIMBORAZO,26,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-09-09,ENCONTRADO,2023-10-03,2023,9,9,24,18-35,060350,0603,06
1305,-0.95354634,-78.60572576,COTOPAXI,20,HOMBRE,PROBLEMAS SOCIALES,ALCOHOLISMO,2023-09-30,ENCONTRADO,2023-10-05,2023,9,30,5,18-35,050150,0501,05
1306,-0.2575728,-78.5164078,PICHINCHA,15,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-19,ENCONTRADO,2023-03-23,2023,3,19,4,13-17,170150,1701,17
1307,-0.74700903,-78.68029778,COTOPAXI,15,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-16,ENCONTRADO,2023-03-19,2023,3,16,3,13-17,050162,0501,05
1308,-0.2160193,-78.5174122,PICHINCHA,15,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-22,ENCONTRADO,2023-05-22,2023,5,22,0,13-17,170150,1701,17
1309,-0.32964538,-78.55436485,PICHINCHA,13,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-06-02,ENCONTRADO,2023-06-19,2023,6,2,17,13-17,170150,1701,17
1310,-0.2204776,-78.5054821,PICHINCHA,31,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-07-07,ENCONTRADO,2023-07-09,2023,7,7,2,18-35,170150,1701,17
1311,-3.4470272,-79.9598913,EL ORO,12,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-07-20,ENCONTRADO,2023-07-21,2023,7,20,1,12 o menos,071250,0712,07
1312,-3.2573962,-79.96435851,EL ORO,15,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-05-18,ENCONTRADO,2023-05-22,2023,5,18,4,13-17,070150,0701,07
1313,-2.1866508,-79.8780845,GUAYAS,16,HOMBRE,PROBLEMAS SOCIALES,DELINCUENCIA,2023-06-17,ENCONTRADO,2023-06-19,2023,6,17,2,13-17,090150,0901,09
1314,-1.26448738,-77.89049819,PASTAZA,26,HOMBRE,DISCAPACIDADES Y ENFERMEDADES,OTRAS ENFERMEDADES MENTALES,2023-03-20,ENCONTRADO,2023-04-05,2023,3,20,16,18-35,160350,1603,16
1315,-3.942232,-79.229321,LOJA,1,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-09,ENCONTRADO,2023-03-23,2023,3,9,14,12 o menos,110150,1101,11
1316,-3.4711278,-80.2329202,EL ORO,23,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-07-16,ENCONTRADO,2023-07-25,2023,7,16,9,18-35,070750,0707,07
1317,-2.21369773,-79.94252374,GUAYAS,34,HOMBRE,PROBLEMAS SOCIALES,ALCOHOLISMO,2023-06-17,ENCONTRADO,2023-06-20,2023,6,17,3,18-35,090150,0901,09
1318,-0.3301626,-78.4510729,PICHINCHA,14,MUJER,PROBLEMAS FAMILIARES,MALTRATO SEXUAL,2023-03-12,ENCONTRADO,2023-03-21,2023,3,12,9,13-17,170550,1705,17
1319,0.07785044,-76.89436168,SUCUMBIOS,32,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-18,ENCONTRADO,2023-04-04,2023,3,18,17,18-35,210150,2101,21
1320,-0.1054104,-78.5133372,PICHINCHA,17,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-04-20,ENCONTRADO,2023-06-07,2023,4,20,48,13-17,170150,1701,17
1321,-0.2217467,-78.3267618,PICHINCHA,14,HOMBRE,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-01,ENCONTRADO,2023-03-03,2023,3,1,2,13-17,170175,1701,17
1322,-1.99797543,-77.89965895,MORONA SANTIAGO,18,MUJER,SIN_DATO,SIN_DATO,2023-05-10,DESAPARECIDO,NA,2023,5,10,NA,18-35,140751,1407,14
1323,-1.6758283,-78.6600411,CHIMBORAZO,55,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-22,ENCONTRADO,2023-03-23,2023,3,22,1,36-64,060150,0601,06
1324,-1.67661523,-78.64422976,CHIMBORAZO,25,HOMBRE,PROBLEMAS SOCIALES,DELINCUENCIA,2023-05-17,ENCONTRADO,2023-05-17,2023,5,17,0,18-35,060150,0601,06
1325,-1.66118122,-78.66285611,CHIMBORAZO,14,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-05-19,ENCONTRADO,2023-05-20,2023,5,19,1,13-17,060150,0601,06
1326,-0.3069491,-78.5018999,PICHINCHA,16,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-05-17,ENCONTRADO,2023-05-22,2023,5,17,5,13-17,170156,1701,17
1327,-2.08516034,-79.98939027,GUAYAS,36,HOMBRE,PROBLEMAS SOCIALES,DELINCUENCIA,2023-06-16,ENCONTRADO,2023-06-19,2023,6,16,3,36-64,090150,0901,09
1328,-1.2466443,-78.6164659,TUNGURAHUA,15,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-21,ENCONTRADO,2023-03-25,2023,3,21,4,13-17,180150,1801,18
1329,-0.2180177,-78.4961534,PICHINCHA,5,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-01-23,ENCONTRADO,2023-03-24,2023,1,23,60,12 o menos,170150,1701,17
1330,-0.2592574,-78.52957614,PICHINCHA,18,MUJER,SIN_DATO,SIN_DATO,2023-02-17,DESAPARECIDO,NA,2023,2,17,NA,18-35,170150,1701,17
1331,-2.0721549,-79.9345141,GUAYAS,35,HOMBRE,FALLECIDO,NO DETERMINADA,2023-06-03,FALLECIDO,2023-07-10,2023,6,3,37,18-35,090150,0901,09
1332,-0.92862135,-78.60110694,COTOPAXI,14,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-09-30,ENCONTRADO,2023-10-01,2023,9,30,1,13-17,050150,0501,05
1333,0.9624618,-79.647762,ESMERALDAS,67,HOMBRE,DISCAPACIDADES Y ENFERMEDADES,RETARDOS MENTALES,2023-05-17,ENCONTRADO,2023-05-22,2023,5,17,5,65 o mas,080150,0801,08
1334,-0.78242203,-78.57552445,COTOPAXI,12,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-07-21,ENCONTRADO,2023-07-25,2023,7,21,4,12 o menos,050156,0501,05
1335,-3.59246606,-78.56978338,ZAMORA CHINCHIPE,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-20,ENCONTRADO,2023-03-23,2023,3,20,3,13-17,190651,1906,19
1336,-0.3149195,-78.5469197,PICHINCHA,42,MUJER,PROBLEMAS SOCIALES,DELINCUENCIA,2023-04-05,ENCONTRADO,2023-04-18,2023,4,5,13,36-64,170150,1701,17
1337,-1.02982959,-79.47315295,LOS RIOS,18,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-22,ENCONTRADO,2023-05-04,2023,3,22,43,18-35,120550,1205,12
1338,-1.03973096,-78.57444484,COTOPAXI,15,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-21,ENCONTRADO,2023-02-22,2023,2,21,1,13-17,050550,0505,05
1339,-0.2686367,-78.5400834,PICHINCHA,17,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-22,ENCONTRADO,2023-05-25,2023,5,22,3,13-17,170150,1701,17
1340,-2.13685625,-79.60824808,GUAYAS,16,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-09-04,ENCONTRADO,2023-09-06,2023,9,4,2,13-17,091050,0910,09
1341,-0.2607792,-78.5099982,PICHINCHA,16,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-09,ENCONTRADO,2023-03-25,2023,2,9,44,13-17,170150,1701,17
1342,-2.17214,-79.8031017,GUAYAS,14,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-04-18,ENCONTRADO,2023-04-18,2023,4,18,0,13-17,090750,0907,09
1343,-1.2438037,-78.6412922,TUNGURAHUA,16,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-08-01,ENCONTRADO,2023-08-02,2023,8,1,1,13-17,180150,1801,18
1344,-0.28253355,-79.19848704,SANTO DOMINGO DE LOS TSACHILAS,1,HOMBRE,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-22,ENCONTRADO,2023-04-02,2023,3,22,11,12 o menos,230150,2301,23
1345,-1.3344799,-78.6431861,TUNGURAHUA,33,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-07-28,ENCONTRADO,2023-08-02,2023,7,28,5,18-35,180950,1809,18
1346,-1.34865844,-78.66970237,TUNGURAHUA,34,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-02-17,ENCONTRADO,2023-02-25,2023,2,17,8,18-35,180950,1809,18
1347,-2.3074378,-78.1202307,MORONA SANTIAGO,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-02-25,ENCONTRADO,2023-04-02,2023,2,25,36,13-17,140150,1401,14
1348,-0.90905905,-78.63394618,COTOPAXI,13,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-02-23,ENCONTRADO,2023-02-28,2023,2,23,5,13-17,050150,0501,05
1349,-2.24778132,-78.14267636,MORONA SANTIAGO,6,HOMBRE,PROBLEMAS PSICOL�GICOS,PROBLEMAS DE CONDUCTA,2023-03-21,ENCONTRADO,2023-03-23,2023,3,21,2,12 o menos,140153,1401,14
1350,-2.8772053,-78.9917829,AZUAY,14,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-23,ENCONTRADO,2023-03-24,2023,3,23,1,13-17,010150,0101,01
1351,-1.94577191,-77.99005494,MORONA SANTIAGO,13,MUJER,SIN_DATO,SIN_DATO,2023-04-17,DESAPARECIDO,NA,2023,4,17,NA,13-17,140750,1407,14
1352,-0.2498547,-79.17511778,SANTO DOMINGO DE LOS TSACHILAS,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-02-17,ENCONTRADO,2023-03-02,2023,2,17,13,13-17,230150,2301,23
1353,-0.2759988,-78.5341299,PICHINCHA,23,HOMBRE,EXTRAVIADA,DETENIDO,2023-03-23,ENCONTRADO,2023-03-25,2023,3,23,2,18-35,170150,1701,17
1354,-0.72862596,-78.63544717,COTOPAXI,19,MUJER,FALLECIDO,NO DETERMINADA,2023-02-25,FALLECIDO,2023-03-09,2023,2,25,12,18-35,050159,0501,05
1355,-0.21173805,-78.51067453,PICHINCHA,11,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-08-02,ENCONTRADO,2023-08-06,2023,8,2,4,12 o menos,170150,1701,17
1356,-1.67819122,-78.65612133,CHIMBORAZO,12,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-05-17,ENCONTRADO,2023-05-20,2023,5,17,3,12 o menos,060150,0601,06
1357,-0.26906893,-79.43365019,MANABI,22,HOMBRE,FALLECIDO,NO DETERMINADA,2023-06-17,FALLECIDO,2023-07-21,2023,6,17,34,18-35,130450,1304,13
1358,-0.9947683,-79.4683279,LOS RIOS,24,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-26,ENCONTRADO,2023-03-03,2023,2,26,5,18-35,120550,1205,12
1359,-1.05254294,-79.465729,LOS RIOS,12,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-25,ENCONTRADO,2023-03-01,2023,2,25,4,12 o menos,120550,1205,12
1360,-1.76786721,-79.58007152,LOS RIOS,21,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-04-10,ENCONTRADO,2023-04-18,2023,4,10,8,18-35,120154,1201,12
1361,-2.90030984,-79.0415713,AZUAY,17,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-01-25,ENCONTRADO,2023-03-02,2023,1,25,36,13-17,010163,0101,01
1362,-0.2797677,-78.5149691,PICHINCHA,15,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-08,ENCONTRADO,2023-02-23,2023,2,8,15,13-17,170150,1701,17
1363,-1.49140142,-78.0076425,PASTAZA,13,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-05-13,ENCONTRADO,2023-05-22,2023,5,13,9,13-17,160150,1601,16
1364,-0.27776874,-78.58359276,PICHINCHA,13,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-04-19,ENCONTRADO,2023-04-27,2023,4,19,8,13-17,170150,1701,17
1365,0.0091672,-79.391605,SANTO DOMINGO DE LOS TSACHILAS,15,MUJER,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-03-23,ENCONTRADO,2023-03-26,2023,3,23,3,13-17,080850,0808,08
1366,-2.248826,-80.928076,SANTA ELENA,15,MUJER,SIN_DATO,SIN_DATO,2023-03-01,DESAPARECIDO,NA,2023,3,1,NA,13-17,240352,2403,24
1367,-0.082904,-79.751427,MANABI,13,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-05-03,ENCONTRADO,2023-05-20,2023,5,3,17,13-17,130354,1303,13
1368,-1.6620857,-78.6589005,CHIMBORAZO,14,MUJER,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-07-31,ENCONTRADO,2023-08-03,2023,7,31,3,13-17,060150,0601,06
1369,-0.2255805,-79.1904065,SANTO DOMINGO DE LOS TSACHILAS,13,MUJER,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-03-21,ENCONTRADO,2023-03-26,2023,3,21,5,13-17,230150,2301,23
1370,-0.23633103,-79.09229309,SANTO DOMINGO DE LOS TSACHILAS,16,HOMBRE,PROBLEMAS FAMILIARES,FAMILIA DISFUNSIONAL,2023-03-23,ENCONTRADO,2023-03-27,2023,3,23,4,13-17,230150,2301,23
1371,-3.98261168,-79.20442924,LOJA,11,HOMBRE,PROBLEMAS SOCIALES,INFLUENCIA DE AMISTADES,2023-02-26,ENCONTRADO,2023-04-19,2023,2,26,52,12 o menos,110150,1101,11
1372,-4.26107322,-79.22249959,LOJA,76,HOMBRE,PROBLEMAS SOCIALES,ALCOHOLISMO,2023-04-07,ENCONTRADO,2023-04-17,2023,4,7,10,65 o mas,110161,1101,11
1373,-3.24514724,-79.9679407,EL ORO,11,HOMBRE,PROBLEMAS FAMILIARES,PROBLEMAS SENTIMENTALES,2023-09-05,ENCONTRADO,2023-09-06,2023,9,5,1,12 o menos,070150,0701,07
