"provincia","latitud","longitud","edad","sexo","motivo_desaparicion","motivo_desaparicion_obs","fecha_desaparicion","situacion_actual","fecha_localizacion","year","month","day","days_gone","age_group"
"PICHINCHA",-0.3425777,-78.5469197,15,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-09,"ENCONTRADO",2023-01-12,2023,1,9,3,"13-17"
"TUNGURAHUA",-1.3962203,-78.3941767,16,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-05-22,"ENCONTRADO",2023-05-25,2023,5,22,3,"13-17"
"GUAYAS",-2.11974484,-79.58136161,13,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-05-23,"ENCONTRADO",2023-05-25,2023,5,23,2,"13-17"
"GUAYAS",-2.17395577,-79.811849,14,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-03,"ENCONTRADO",2023-03-28,2023,3,3,25,"13-17"
"PICHINCHA",-0.2323901,-78.4488287,13,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-09,"ENCONTRADO",2023-01-12,2023,1,9,3,"13-17"
"SUCUMBIOS",0.08628525,-77.1677851,11,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-11,"ENCONTRADO",2023-01-12,2023,1,11,1,"12 o menos"
"NAPO",-0.9085624,-77.8081363,15,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-05-21,"ENCONTRADO",2023-05-23,2023,5,21,2,"13-17"
"NAPO",-0.9962972,-77.8136035,34,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-04-08,"ENCONTRADO",2023-04-21,2023,4,8,13,"18-35"
"PICHINCHA",-0.1303767,-78.4440136,18,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-05,"ENCONTRADO",2023-03-06,2023,3,5,1,"18-35"
"PICHINCHA",-0.4066126,-78.5462098,25,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-13,"ENCONTRADO",2023-01-16,2023,1,13,3,"18-35"
"ESMERALDAS",0.804828,-79.940308,29,"HOMBRE","FALLECIDO","HOMICIDIO",2023-01-02,"FALLECIDO",2023-01-13,2023,1,2,11,"18-35"
"AZUAY",-2.8893991,-79.005589,14,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-10,"ENCONTRADO",2023-01-14,2023,1,10,4,"13-17"
"PICHINCHA",-0.2553166,-78.55329839,14,"HOMBRE","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-04-20,"ENCONTRADO",2023-05-03,2023,4,20,13,"13-17"
"MANABI",-0.4047096,-79.9057063,3,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-10,"ENCONTRADO",2023-01-13,2023,1,10,3,"12 o menos"
"PICHINCHA",-0.0857717,-78.5078677,14,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-13,"ENCONTRADO",2023-01-14,2023,1,13,1,"13-17"
"AZUAY",-3.0510692,-78.7957856,18,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-02-25,"ENCONTRADO",2023-03-05,2023,2,25,8,"18-35"
"AZUAY",-2.96039931,-78.77261809,55,"HOMBRE","PROBLEMAS SOCIALES","ALCOHOLISMO",2023-02-16,"ENCONTRADO",2023-03-06,2023,2,16,18,"36-64"
"COTOPAXI",-0.9171435,-78.632781,12,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-03,"ENCONTRADO",2023-03-06,2023,3,3,3,"12 o menos"
"MORONA SANTIAGO",-2.30690297,-78.12138992,13,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-04-21,"ENCONTRADO",2023-05-24,2023,4,21,33,"13-17"
"SUCUMBIOS",0.07788576,-76.89437629,25,"HOMBRE","FALLECIDO","NO DETERMINADA",2023-03-25,"FALLECIDO",2023-03-28,2023,3,25,3,"18-35"
"PICHINCHA",-0.5171654,-78.5807401,17,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-08,"ENCONTRADO",2023-01-14,2023,1,8,6,"13-17"
"GUAYAS",-2.0995447,-79.9182208,17,"HOMBRE","FALLECIDO","NO DETERMINADA",2023-01-10,"FALLECIDO",2023-01-12,2023,1,10,2,"13-17"
"EL ORO",-3.25569287,-79.97257233,6,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-12,"ENCONTRADO",2023-01-14,2023,1,12,2,"12 o menos"
"GUAYAS",-2.1556299,-79.7828127,15,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-12,"ENCONTRADO",2023-01-13,2023,1,12,1,"13-17"
"PICHINCHA",-0.3091615,-78.5483395,21,"MUJER","DISCAPACIDADES Y ENFERMEDADES","OTRAS ENFERMEDADES MENTALES",2023-03-03,"ENCONTRADO",2023-03-06,2023,3,3,3,"18-35"
"PICHINCHA",-0.1235333,-78.5048458,24,"MUJER","PROBLEMAS PSICOLÓGICOS","DEPRESION",2023-01-08,"ENCONTRADO",2023-01-10,2023,1,8,2,"18-35"
"CHIMBORAZO",-1.6554746,-78.6702973,27,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-02,"ENCONTRADO",2023-01-14,2023,1,2,12,"18-35"
"CHIMBORAZO",-1.6554746,-78.6702973,5,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-02,"ENCONTRADO",2023-01-14,2023,1,2,12,"12 o menos"
"CHIMBORAZO",-1.6554746,-78.6702973,7,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-02,"ENCONTRADO",2023-01-14,2023,1,2,12,"12 o menos"
"PICHINCHA",-0.2113598,-78.5213601,13,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-12,"ENCONTRADO",2023-01-14,2023,1,12,2,"13-17"
"GUAYAS",-2.1222822,-79.96814049,21,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-08,"ENCONTRADO",2023-01-15,2023,1,8,7,"18-35"
"PICHINCHA",-0.04098947,-78.45585823,21,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-15,"ENCONTRADO",2023-03-18,2023,3,15,3,"18-35"
"CARCHI",0.5902411,-77.83052462,14,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-05-17,"ENCONTRADO",2023-05-20,2023,5,17,3,"13-17"
"EL ORO",-3.2581112,-79.9553924,14,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-05,"ENCONTRADO",2023-03-07,2023,3,5,2,"13-17"
"SANTO DOMINGO DE LOS TSACHILAS",-0.24360431,-79.16837885,78,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-04-06,"ENCONTRADO",2023-04-22,2023,4,6,16,"65 o mas"
"PICHINCHA",-0.3146145,-78.5316557,13,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-14,"ENCONTRADO",2023-01-15,2023,1,14,1,"13-17"
"GUAYAS",-2.1894128,-79.8890662,44,"HOMBRE","FALLECIDO","NO DETERMINADA",2023-01-14,"FALLECIDO",2023-02-08,2023,1,14,25,"36-64"
"ESMERALDAS",0.804828,-79.940308,17,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-01,"ENCONTRADO",2023-01-16,2023,1,1,15,"13-17"
"PICHINCHA",-0.3040402,-78.5591699,12,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-13,"ENCONTRADO",2023-01-14,2023,1,13,1,"12 o menos"
"CHIMBORAZO",-1.6583289,-78.6725777,23,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-14,"ENCONTRADO",2023-01-16,2023,1,14,2,"18-35"
"GUAYAS",-2.16777703,-79.83788329,16,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-09,"ENCONTRADO",2023-01-15,2023,1,9,6,"13-17"
"MORONA SANTIAGO",-2.45907715,-78.16793447,13,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-08,"ENCONTRADO",2023-01-17,2023,1,8,9,"13-17"
"COTOPAXI",-0.9411949,-79.2316042,14,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-16,"ENCONTRADO",2023-01-19,2023,1,16,3,"13-17"
"LOJA",-3.98556534,-79.2358768,61,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-05,"ENCONTRADO",2023-01-15,2023,1,5,10,"36-64"
"PICHINCHA",-0.30855983,-78.56185913,10,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-16,"ENCONTRADO",2023-01-16,2023,1,16,0,"12 o menos"
"GUAYAS",-2.1328143,-79.9703317,14,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-12,"ENCONTRADO",2023-01-17,2023,1,12,5,"13-17"
"SANTO DOMINGO DE LOS TSACHILAS",-0.2712599,-79.1854953,76,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-31,"ENCONTRADO",2023-03-20,2023,1,31,48,"65 o mas"
"GUAYAS",-2.1932598,-79.8900565,22,"MUJER","PROBLEMAS SOCIALES","DELINCUENCIA",2023-01-14,"ENCONTRADO",2023-01-16,2023,1,14,2,"18-35"
"PICHINCHA",-0.2612552,-78.519082,74,"HOMBRE","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-14,"ENCONTRADO",2023-01-17,2023,1,14,3,"65 o mas"
"CHIMBORAZO",-1.8880488,-78.7228209,18,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-12,"ENCONTRADO",2023-01-18,2023,1,12,6,"18-35"
"COTOPAXI",-0.82535284,-78.64213222,17,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-13,"ENCONTRADO",2023-01-16,2023,1,13,3,"13-17"
"ESMERALDAS",0.96777295,-79.64976287,14,"MUJER","DISCAPACIDADES Y ENFERMEDADES","RETARDOS MENTALES",2023-01-05,"ENCONTRADO",2023-01-11,2023,1,5,6,"13-17"
"COTOPAXI",-0.86111986,-78.59704742,48,"HOMBRE","PROBLEMAS SOCIALES","ALCOHOLISMO",2023-01-12,"ENCONTRADO",2023-01-16,2023,1,12,4,"36-64"
"COTOPAXI",-0.76090393,-78.57851863,57,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-11,"ENCONTRADO",2023-01-17,2023,1,11,6,"36-64"
"AZUAY",-2.82029362,-78.87320312,32,"HOMBRE","FALLECIDO","NO DETERMINADA",2023-01-15,"FALLECIDO",2023-01-25,2023,1,15,10,"18-35"
"CHIMBORAZO",-1.64802233,-78.6886096,27,"HOMBRE","FALLECIDO","ACCIDENTAL",2023-01-13,"FALLECIDO",2023-01-14,2023,1,13,1,"18-35"
"PICHINCHA",-0.1559523,-78.4968294,17,"HOMBRE","PROBLEMAS FAMILIARES","MALTRATO PSICOLOGICO",2023-01-10,"ENCONTRADO",2023-01-14,2023,1,10,4,"13-17"
"GUAYAS",-2.2392496,-79.8891651,14,"MUJER","EXTRAVIADA","HOSPITALIZADO",2023-01-12,"ENCONTRADO",2023-01-16,2023,1,12,4,"13-17"
"GUAYAS",-2.0913679,-79.9150724,52,"HOMBRE","PROBLEMAS SOCIALES","DELINCUENCIA",2023-01-13,"ENCONTRADO",2023-01-17,2023,1,13,4,"36-64"
"CHIMBORAZO",-1.67051504,-78.65716233,16,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-04-20,"ENCONTRADO",2023-04-20,2023,4,20,0,"13-17"
"MANABI",0.163055,-79.943225,15,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-13,"ENCONTRADO",2023-01-17,2023,1,13,4,"13-17"
"SUCUMBIOS",0.09087208,-77.16908452,13,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-13,"ENCONTRADO",2023-01-17,2023,1,13,4,"13-17"
"BOLIVAR",-1.58266894,-78.9969058,9,"MUJER","PROBLEMAS ACADÉMICOS","BULLYING (MALTRATO ESCOLAR)",2023-01-17,"ENCONTRADO",2023-01-17,2023,1,17,0,"12 o menos"
"NAPO",-0.99792711,-77.81311507,16,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-02-17,"ENCONTRADO",2023-03-06,2023,2,17,17,"13-17"
"SUCUMBIOS",0.08248326,-77.01858044,59,"HOMBRE","DISCAPACIDADES Y ENFERMEDADES","RETARDOS MENTALES",2023-02-17,"ENCONTRADO",2023-03-01,2023,2,17,12,"36-64"
"CHIMBORAZO",-1.9205065,-78.640419,16,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-05,"ENCONTRADO",2023-03-20,2023,3,5,15,"13-17"
"EL ORO",-3.30563416,-79.93281848,16,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-05-19,"ENCONTRADO",2023-05-24,2023,5,19,5,"13-17"
"MANABI",-0.58252,-80.040306,9,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-11,"ENCONTRADO",2023-05-25,2023,3,11,75,"12 o menos"
"PICHINCHA",-0.28035683,-78.5113477,15,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-02-22,"ENCONTRADO",2023-03-06,2023,2,22,12,"13-17"
"PICHINCHA",-0.23341474,-78.48827809,15,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-04-21,"ENCONTRADO",2023-04-24,2023,4,21,3,"13-17"
"GUAYAS",-2.63424549,-80.38897439,16,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-03-02,"ENCONTRADO",2023-03-19,2023,3,2,17,"13-17"
"GUAYAS",-2.24539646,-79.89131182,54,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-19,"ENCONTRADO",2023-03-28,2023,3,19,9,"36-64"
"GUAYAS",-1.60744763,-79.97022008,17,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-17,"ENCONTRADO",2023-04-03,2023,3,17,17,"13-17"
"EL ORO",-3.25327207,-79.9401015,23,"HOMBRE","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-14,"ENCONTRADO",2023-01-18,2023,1,14,4,"18-35"
"GUAYAS",-2.06805461,-79.93312218,15,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-09,"ENCONTRADO",2023-01-10,2023,1,9,1,"13-17"
"GUAYAS",-2.2015551,-79.8966835,30,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-04,"ENCONTRADO",2023-01-17,2023,1,4,13,"18-35"
"EL ORO",-3.25661572,-79.94485439,12,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-16,"ENCONTRADO",2023-01-17,2023,1,16,1,"12 o menos"
"COTOPAXI",-1.0964643,-78.6029862,63,"HOMBRE","DISCAPACIDADES Y ENFERMEDADES","ALZHEIMER",2023-01-15,"ENCONTRADO",2023-02-05,2023,1,15,21,"36-64"
"PICHINCHA",0.0411016,-78.2077368,13,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-06,"ENCONTRADO",2023-01-18,2023,1,6,12,"13-17"
"COTOPAXI",-0.84931808,-78.66311796,13,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-14,"ENCONTRADO",2023-01-17,2023,1,14,3,"13-17"
"PICHINCHA",0.0453258,-78.1450481,12,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-09,"ENCONTRADO",2023-01-18,2023,1,9,9,"12 o menos"
"LOJA",-3.9952065,-79.2022123,34,"HOMBRE","FALLECIDO","ASESINATO",2023-01-07,"FALLECIDO",2023-01-12,2023,1,7,5,"18-35"
"SANTO DOMINGO DE LOS TSACHILAS",-0.27006032,-79.16352834,23,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-02-20,"ENCONTRADO",2023-03-05,2023,2,20,13,"18-35"
"PICHINCHA",-0.1918287,-78.5114185,15,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-02-14,"ENCONTRADO",2023-03-07,2023,2,14,21,"13-17"
"ORELLANA",-0.4616728,-76.9931074,35,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-05,"ENCONTRADO",2023-03-07,2023,3,5,2,"18-35"
"GUAYAS",-2.14007449,-79.8647491,28,"HOMBRE","FALLECIDO","NO DETERMINADA",2023-03-16,"FALLECIDO",2023-03-17,2023,3,16,1,"18-35"
"PICHINCHA",-0.2949217,-78.5628897,13,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-05-04,"ENCONTRADO",2023-06-02,2023,5,4,29,"13-17"
"GUAYAS",-2.13483641,-79.31032438,20,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-21,"ENCONTRADO",2023-03-25,2023,3,21,4,"18-35"
"PICHINCHA",0.0411016,-78.2077368,13,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-04,"ENCONTRADO",2023-01-18,2023,1,4,14,"13-17"
"IMBABURA",0.34262439,-78.18700384,13,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-12,"ENCONTRADO",2023-01-17,2023,1,12,5,"13-17"
"GUAYAS",-2.1448779,-79.6038842,58,"HOMBRE","EXTRAVIADA","HOSPITALIZADO",2023-01-10,"ENCONTRADO",2023-01-18,2023,1,10,8,"36-64"
"BOLIVAR",-1.59170274,-79.03335238,17,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-03,"ENCONTRADO",2023-01-18,2023,1,3,15,"13-17"
"GUAYAS",-2.16359552,-79.446094,51,"HOMBRE","DISCAPACIDADES Y ENFERMEDADES","OTRAS ENFERMEDADES MENTALES",2023-01-08,"ENCONTRADO",2023-01-18,2023,1,8,10,"36-64"
"PICHINCHA",0.0453258,-78.1450481,10,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-09,"ENCONTRADO",2023-01-18,2023,1,9,9,"12 o menos"
"IMBABURA",0.320478,-78.1231563,17,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-07,"ENCONTRADO",2023-01-12,2023,1,7,5,"13-17"
"BOLIVAR",-1.59757006,-78.96793152,17,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-14,"ENCONTRADO",2023-01-18,2023,1,14,4,"13-17"
"MANABI",0.163055,-79.943225,13,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-13,"ENCONTRADO",2023-01-17,2023,1,13,4,"13-17"
"PICHINCHA",-0.09742593,-78.52242643,28,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-04,"ENCONTRADO",2023-03-06,2023,3,4,2,"18-35"
"PICHINCHA",-0.3301626,-78.4510729,36,"MUJER","PROBLEMA ECÓNOMICOS","DEUDAS",2023-01-22,"ENCONTRADO",2023-03-28,2023,1,22,65,"36-64"
"ESMERALDAS",0.32700017,-79.47393634,14,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-05,"ENCONTRADO",2023-04-21,2023,3,5,47,"13-17"
"PICHINCHA",-0.2320259,-78.3369554,16,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-24,"ENCONTRADO",2023-03-28,2023,3,24,4,"13-17"
"PICHINCHA",-0.0940492,-78.4510101,15,"HOMBRE","PROBLEMAS ACADÉMICOS","BAJO RENDIMIENTO",2023-05-12,"ENCONTRADO",2023-06-08,2023,5,12,27,"13-17"
"LOJA",-4.00031819,-79.19889373,14,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-03-19,"ENCONTRADO",2023-03-28,2023,3,19,9,"13-17"
"MANABI",-0.960224,-80.813148,15,"MUJER","PROBLEMAS FAMILIARES","MALTRATO SEXUAL",2023-01-09,"ENCONTRADO",2023-01-18,2023,1,9,9,"13-17"
"EL ORO",-3.23167037,-79.94633857,38,"HOMBRE","PROBLEMAS SOCIALES","ALCOHOLISMO",2023-03-04,"ENCONTRADO",2023-03-06,2023,3,4,2,"36-64"
"TUNGURAHUA",-1.3274599,-78.5273951,59,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-14,"ENCONTRADO",2023-01-19,2023,1,14,5,"36-64"
"PICHINCHA",-0.2376034,-78.4902452,62,"HOMBRE","FALLECIDO","SUICIDIO",2023-01-14,"FALLECIDO",2023-01-19,2023,1,14,5,"36-64"
"COTOPAXI",-0.71705943,-79.11367035,14,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-07,"ENCONTRADO",2023-01-19,2023,1,7,12,"13-17"
"MANABI",-0.33684247,-79.60972622,17,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-14,"ENCONTRADO",2023-01-19,2023,1,14,5,"13-17"
"GUAYAS",-2.1035171,-79.9559316,30,"HOMBRE","SIN_DATO","SIN_DATO",2023-05-09,"DESAPARECIDO",NA,2023,5,9,NA,"18-35"
"AZUAY",-2.89542384,-79.05857205,13,"HOMBRE","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-18,"ENCONTRADO",2023-01-19,2023,1,18,1,"13-17"
"MANABI",-0.7842208,-80.2343302,13,"MUJER","PROBLEMAS FAMILIARES","MALTRATO SEXUAL",2023-01-12,"ENCONTRADO",2023-01-18,2023,1,12,6,"13-17"
"PICHINCHA",-0.245266,-78.5234903,12,"MUJER","PROBLEMAS PSICOLÓGICOS","PROBLEMAS DE CONDUCTA",2023-01-07,"ENCONTRADO",2023-01-18,2023,1,7,11,"12 o menos"
"SANTO DOMINGO DE LOS TSACHILAS",-0.2602676,-79.2096646,14,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-10,"ENCONTRADO",2023-01-16,2023,1,10,6,"13-17"
"COTOPAXI",-0.94260134,-78.68327203,33,"MUJER","PROBLEMA ECÓNOMICOS","DEUDAS",2023-01-16,"ENCONTRADO",2023-01-19,2023,1,16,3,"18-35"
"COTOPAXI",-0.84000481,-78.66614251,25,"HOMBRE","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-17,"ENCONTRADO",2023-01-19,2023,1,17,2,"18-35"
"COTOPAXI",-0.9411949,-79.2316042,15,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-16,"ENCONTRADO",2023-01-19,2023,1,16,3,"13-17"
"IMBABURA",0.23396678,-78.28106462,17,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-17,"ENCONTRADO",2023-01-19,2023,1,17,2,"13-17"
"PASTAZA",-1.47947312,-78.01176509,5,"HOMBRE","PROBLEMAS PSICOLÓGICOS","PROBLEMAS DE CONDUCTA",2023-03-05,"ENCONTRADO",2023-03-06,2023,3,5,1,"12 o menos"
"MORONA SANTIAGO",-1.69711802,-77.97005653,13,"MUJER","PROBLEMAS PSICOLÓGICOS","PROBLEMAS DE CONDUCTA",2023-01-17,"ENCONTRADO",2023-01-19,2023,1,17,2,"13-17"
"PICHINCHA",-0.2107252,-78.4410895,51,"HOMBRE","PROBLEMAS SOCIALES","DELINCUENCIA",2023-01-18,"ENCONTRADO",2023-01-20,2023,1,18,2,"36-64"
"PICHINCHA",-0.2107252,-78.4410895,44,"MUJER","PROBLEMAS SOCIALES","DELINCUENCIA",2023-01-18,"ENCONTRADO",2023-01-20,2023,1,18,2,"36-64"
"PASTAZA",-1.47947312,-78.01176509,7,"MUJER","PROBLEMAS PSICOLÓGICOS","PROBLEMAS DE CONDUCTA",2023-03-05,"ENCONTRADO",2023-03-06,2023,3,5,1,"12 o menos"
"MANABI",-0.2714362,-79.4647633,22,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-03-23,"ENCONTRADO",2023-03-28,2023,3,23,5,"18-35"
"PICHINCHA",0.0757513,-78.1230672,13,"MUJER","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-17,"ENCONTRADO",2023-01-23,2023,1,17,6,"13-17"
"PICHINCHA",-0.11910413,-78.46520394,46,"MUJER","PROBLEMAS SOCIALES","ALCOHOLISMO",2023-04-21,"ENCONTRADO",2023-04-22,2023,4,21,1,"36-64"
"CHIMBORAZO",-1.69099597,-78.63160115,51,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-03-20,"ENCONTRADO",2023-03-21,2023,3,20,1,"36-64"
"PICHINCHA",-0.0960488,-78.4240328,15,"MUJER","PROBLEMAS ACADÉMICOS","BAJO RENDIMIENTO",2023-01-19,"ENCONTRADO",2023-01-19,2023,1,19,0,"13-17"
"PICHINCHA",-0.22308882,-78.52105603,20,"HOMBRE","FISCALÍA","FISCALIA",2023-01-18,"ENCONTRADO",2023-01-19,2023,1,18,1,"18-35"
"PICHINCHA",-0.0800592,-78.4477081,30,"HOMBRE","PROBLEMAS SOCIALES","DROGADICCION",2023-01-06,"ENCONTRADO",2023-02-08,2023,1,6,33,"18-35"
"GUAYAS",-2.19017818,-79.90183858,35,"HOMBRE","PROBLEMAS SOCIALES","DROGADICCION",2023-01-15,"ENCONTRADO",2023-01-24,2023,1,15,9,"18-35"
"TUNGURAHUA",-1.258935,-78.5944718,17,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-18,"ENCONTRADO",2023-01-20,2023,1,18,2,"13-17"
"LOJA",-3.9813313,-79.2013491,15,"MUJER","PROBLEMAS FAMILIARES","FAMILIA DISFUNSIONAL",2023-01-06,"ENCONTRADO",2023-01-20,2023,1,6,14,"13-17"
"PICHINCHA",-0.12455371,-78.47854219,13,"MUJER","PROBLEMAS FAMILIARES","PROBLEMAS SENTIMENTALES",2023-01-15,"ENCONTRADO",2023-01-21,2023,1,15,6,"13-17"
"MANABI",-1.13443591,-80.35228729,41,"HOMBRE","PROBLEMAS SOCIALES","INFLUENCIA DE AMISTADES",2023-01-13,"ENCONTRADO",2023-01-18,2023,1,13,5,"36-64"
"ESMERALDAS",0.32205851,-79.47714905,15,"MUJER","PROBLEMAS FAMILIARES","MALTRATO FISICO",2023-04-19,"ENCONTRADO",2023-04-21,2023,4,19,2,"13-17"
"GUAYAS",-2.19383258,-79.88796473,77,"HOMBRE","EXTRAVIADA","PERSONA EXTRAVIADA",2023-03-14,"ENCONTRADO",2023-03-17,2023,3,14,3,"65 o mas"
