Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
AZUAY;-2,88599948;-78,99829970;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;07/01/2023;ENCONTRADO;10/01/2023
PICHINCHA;0,02712470;-78,14858900;27;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/01/2023;ENCONTRADO;11/01/2023
PICHINCHA;-0,14059820;-78,46341430;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/01/2023;ENCONTRADO;11/01/2023
MANABI;-1,06229822;-80,45995154;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;04/03/2023;ENCONTRADO;04/03/2023
MANABI;-1,06229822;-80,45995154;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;04/03/2023;ENCONTRADO;04/03/2023
IMBABURA;0,23079450;-78,25794460;67;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;19/03/2023;ENCONTRADO;24/03/2023
GUAYAS;-2,12225540;-79,96797690;16;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;22/05/2023;ENCONTRADO;24/05/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,24383518;-79,33139352;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/04/2023;ENCONTRADO;24/04/2023
AZUAY;-2,88292991;-78,98087919;11;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/01/2023;ENCONTRADO;11/01/2023
ESMERALDAS;1,28324394;-78,83302630;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/01/2023;ENCONTRADO;07/02/2023
MORONA SANTIAGO;-1,94586200;-77,98956750;14;MUJER;SIN_DATO;SIN_DATO;22/04/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,05463428;-79,87605231;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/01/2023;ENCONTRADO;11/01/2023
PICHINCHA;-0,09492070;-78,47377360;25;HOMBRE;FALLECIDO;ACCIDENTAL;08/01/2023;FALLECIDO;11/01/2023
GUAYAS;-2,27676900;-79,89538790;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/01/2023;ENCONTRADO;11/01/2023
ESMERALDAS;0,90823840;-79,68184227;29;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;07/01/2023;ENCONTRADO;11/01/2023
PICHINCHA;-0,03921053;-78,15991450;16;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;02/01/2023;ENCONTRADO;11/01/2023
CHIMBORAZO;-1,66502270;-78,65887860;65;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/05/2023;ENCONTRADO;26/05/2023
PICHINCHA;-0,12720318;-78,31562925;30;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;05/03/2023;ENCONTRADO;04/04/2023
PICHINCHA;-0,12720318;-78,31562925;31;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;05/03/2023;ENCONTRADO;04/04/2023
PICHINCHA;0,05172390;-78,45092290;42;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/05/2023;ENCONTRADO;23/05/2023
PICHINCHA;-0,21422380;-78,51070830;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/01/2023;ENCONTRADO;10/01/2023
PICHINCHA;-0,25333720;-78,54762960;28;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;06/01/2023;ENCONTRADO;11/01/2023
GUAYAS;-2,22245214;-79,88653193;24;HOMBRE;FALLECIDO;NO DETERMINADA;08/01/2023;FALLECIDO;10/01/2023
GUAYAS;-2,16800490;-79,80305800;45;HOMBRE;EXTRAVIADA;ACCIDENTADO;04/03/2023;ENCONTRADO;05/03/2023
GUAYAS;-2,12621550;-79,69851550;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/01/2023;ENCONTRADO;16/01/2023
PASTAZA;-1,49468909;-78,01431722;26;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;12/03/2023;ENCONTRADO;27/03/2023
PICHINCHA;-0,09298570;-78,44966235;20;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;18/04/2023;ENCONTRADO;20/04/2023
SANTA ELENA;-1,79728200;-80,75761000;21;MUJER;SIN_DATO;SIN_DATO;23/05/2023;DESAPARECIDO;SIN_DATO
MANABI;-0,78422080;-80,23433020;27;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/04/2023;ENCONTRADO;08/06/2023
AZUAY;-2,92809170;-78,77878890;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/05/2023;ENCONTRADO;24/05/2023
PICHINCHA;-0,09585406;-78,45049381;32;MUJER;SIN_DATO;SIN_DATO;14/05/2023;DESAPARECIDO;SIN_DATO
MANABI;-1,55418430;-80,42575840;13;MUJER;PROBLEMAS FAMILIARES;MALTRATO SEXUAL;27/02/2023;ENCONTRADO;04/03/2023
PICHINCHA;-0,09135460;-78,47013040;18;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/01/2023;ENCONTRADO;12/01/2023
GUAYAS;-2,07763452;-79,92533296;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/01/2023;ENCONTRADO;12/01/2023
COTOPAXI;-0,95420832;-78,61264655;49;HOMBRE;SIN_DATO;SIN_DATO;19/05/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,25492423;-79,12309925;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/01/2023;ENCONTRADO;19/01/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,23365407;-79,18501248;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/03/2023;ENCONTRADO;22/03/2023
AZUAY;-3,33810387;-79,06477982;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;07/01/2023;ENCONTRADO;19/01/2023
PICHINCHA;-0,34257770;-78,54691970;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/01/2023;ENCONTRADO;12/01/2023
TUNGURAHUA;-1,39622030;-78,39417670;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/05/2023;ENCONTRADO;25/05/2023
GUAYAS;-2,11974484;-79,58136161;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/05/2023;ENCONTRADO;25/05/2023
GUAYAS;-2,17395577;-79,81184900;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/03/2023;ENCONTRADO;28/03/2023
PICHINCHA;-0,23239010;-78,44882870;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/01/2023;ENCONTRADO;12/01/2023
SUCUMBIOS;0,08628525;-77,16778510;11;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/01/2023;ENCONTRADO;12/01/2023
NAPO;-0,90856240;-77,80813630;15;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;21/05/2023;ENCONTRADO;23/05/2023
NAPO;-0,99629720;-77,81360350;34;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/04/2023;ENCONTRADO;21/04/2023
PICHINCHA;-0,13037670;-78,44401360;18;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/03/2023;ENCONTRADO;06/03/2023
PICHINCHA;-0,40661260;-78,54620980;25;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;13/01/2023;ENCONTRADO;16/01/2023
ESMERALDAS;0,80482800;-79,94030800;29;HOMBRE;FALLECIDO;HOMICIDIO;02/01/2023;FALLECIDO;13/01/2023
AZUAY;-2,88939910;-79,00558900;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/01/2023;ENCONTRADO;14/01/2023
PICHINCHA;-0,25531660;-78,55329839;14;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/04/2023;ENCONTRADO;03/05/2023
MANABI;-0,40470960;-79,90570630;3;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/01/2023;ENCONTRADO;13/01/2023
PICHINCHA;-0,08577170;-78,50786770;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/01/2023;ENCONTRADO;14/01/2023
AZUAY;-3,05106920;-78,79578560;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/02/2023;ENCONTRADO;05/03/2023
AZUAY;-2,96039931;-78,77261809;55;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;16/02/2023;ENCONTRADO;06/03/2023
COTOPAXI;-0,91714350;-78,63278100;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/03/2023;ENCONTRADO;06/03/2023
MORONA SANTIAGO;-2,30690297;-78,12138992;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/04/2023;ENCONTRADO;24/05/2023
SUCUMBIOS;0,07788576;-76,89437629;25;HOMBRE;FALLECIDO;NO DETERMINADA;25/03/2023;FALLECIDO;28/03/2023
PICHINCHA;-0,51716540;-78,58074010;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/01/2023;ENCONTRADO;14/01/2023
GUAYAS;-2,09954470;-79,91822080;17;HOMBRE;FALLECIDO;NO DETERMINADA;10/01/2023;FALLECIDO;12/01/2023
EL ORO;-3,25569287;-79,97257233;6;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/01/2023;ENCONTRADO;14/01/2023
GUAYAS;-2,15562990;-79,78281270;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/01/2023;ENCONTRADO;13/01/2023
PICHINCHA;-0,30916150;-78,54833950;21;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;03/03/2023;ENCONTRADO;06/03/2023
PICHINCHA;-0,12353330;-78,50484580;24;MUJER;PROBLEMAS PSICOLÓGICOS;DEPRESION;08/01/2023;ENCONTRADO;10/01/2023
CHIMBORAZO;-1,65547460;-78,67029730;27;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/01/2023;ENCONTRADO;14/01/2023
CHIMBORAZO;-1,65547460;-78,67029730;5;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/01/2023;ENCONTRADO;14/01/2023
CHIMBORAZO;-1,65547460;-78,67029730;7;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/01/2023;ENCONTRADO;14/01/2023
PICHINCHA;-0,21135980;-78,52136010;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/01/2023;ENCONTRADO;14/01/2023
GUAYAS;-2,12228220;-79,96814049;21;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/01/2023;ENCONTRADO;15/01/2023
PICHINCHA;-0,04098947;-78,45585823;21;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/03/2023;ENCONTRADO;18/03/2023
CARCHI;0,59024110;-77,83052462;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/05/2023;ENCONTRADO;20/05/2023
EL ORO;-3,25811120;-79,95539240;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/03/2023;ENCONTRADO;07/03/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,24360431;-79,16837885;78;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/04/2023;ENCONTRADO;22/04/2023
PICHINCHA;-0,31461450;-78,53165570;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/01/2023;ENCONTRADO;15/01/2023
GUAYAS;-2,18941280;-79,88906620;44;HOMBRE;FALLECIDO;NO DETERMINADA;14/01/2023;FALLECIDO;08/02/2023
ESMERALDAS;0,80482800;-79,94030800;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/01/2023;ENCONTRADO;16/01/2023
PICHINCHA;-0,30404020;-78,55916990;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;13/01/2023;ENCONTRADO;14/01/2023
CHIMBORAZO;-1,65832890;-78,67257770;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/01/2023;ENCONTRADO;16/01/2023
GUAYAS;-2,16777703;-79,83788329;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;09/01/2023;ENCONTRADO;15/01/2023
MORONA SANTIAGO;-2,45907715;-78,16793447;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;08/01/2023;ENCONTRADO;17/01/2023
COTOPAXI;-0,94119490;-79,23160420;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/01/2023;ENCONTRADO;19/01/2023
LOJA;-3,98556534;-79,23587680;61;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/01/2023;ENCONTRADO;15/01/2023
PICHINCHA;-0,30855983;-78,56185913;10;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/01/2023;ENCONTRADO;16/01/2023
GUAYAS;-2,13281430;-79,97033170;14;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/01/2023;ENCONTRADO;17/01/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,27125990;-79,18549530;76;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/01/2023;ENCONTRADO;20/03/2023
GUAYAS;-2,19325980;-79,89005650;22;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;14/01/2023;ENCONTRADO;16/01/2023
PICHINCHA;-0,26125520;-78,51908200;74;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/01/2023;ENCONTRADO;17/01/2023
CHIMBORAZO;-1,88804880;-78,72282090;18;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/01/2023;ENCONTRADO;18/01/2023
COTOPAXI;-0,82535284;-78,64213222;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;13/01/2023;ENCONTRADO;16/01/2023
ESMERALDAS;0,96777295;-79,64976287;14;MUJER;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;05/01/2023;ENCONTRADO;11/01/2023
COTOPAXI;-0,86111986;-78,59704742;48;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;12/01/2023;ENCONTRADO;16/01/2023
COTOPAXI;-0,76090393;-78,57851863;57;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/01/2023;ENCONTRADO;17/01/2023
AZUAY;-2,82029362;-78,87320312;32;HOMBRE;FALLECIDO;NO DETERMINADA;15/01/2023;FALLECIDO;25/01/2023
CHIMBORAZO;-1,64802233;-78,68860960;27;HOMBRE;FALLECIDO;ACCIDENTAL;13/01/2023;FALLECIDO;14/01/2023
PICHINCHA;-0,15595230;-78,49682940;17;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;10/01/2023;ENCONTRADO;14/01/2023
GUAYAS;-2,23924960;-79,88916510;14;MUJER;EXTRAVIADA;HOSPITALIZADO;12/01/2023;ENCONTRADO;16/01/2023
GUAYAS;-2,09136790;-79,91507240;52;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;13/01/2023;ENCONTRADO;17/01/2023
CHIMBORAZO;-1,67051504;-78,65716233;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/04/2023;ENCONTRADO;20/04/2023
MANABI;0,16305500;-79,94322500;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/01/2023;ENCONTRADO;17/01/2023
SUCUMBIOS;0,09087208;-77,16908452;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;13/01/2023;ENCONTRADO;17/01/2023
BOLIVAR;-1,58266894;-78,99690580;9;MUJER;PROBLEMAS ACADÉMICOS;BULLYING (MALTRATO ESCOLAR);17/01/2023;ENCONTRADO;17/01/2023
NAPO;-0,99792711;-77,81311507;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/02/2023;ENCONTRADO;06/03/2023
SUCUMBIOS;0,08248326;-77,01858044;59;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;17/02/2023;ENCONTRADO;01/03/2023
CHIMBORAZO;-1,92050650;-78,64041900;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;05/03/2023;ENCONTRADO;20/03/2023
EL ORO;-3,30563416;-79,93281848;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/05/2023;ENCONTRADO;24/05/2023
MANABI;-0,58252000;-80,04030600;9;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/03/2023;ENCONTRADO;25/05/2023
PICHINCHA;-0,28035683;-78,51134770;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/02/2023;ENCONTRADO;06/03/2023
PICHINCHA;-0,23341474;-78,48827809;15;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;21/04/2023;ENCONTRADO;24/04/2023
GUAYAS;-2,63424549;-80,38897439;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/03/2023;ENCONTRADO;19/03/2023
GUAYAS;-2,24539646;-79,89131182;54;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/03/2023;ENCONTRADO;28/03/2023
GUAYAS;-1,60744763;-79,97022008;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/03/2023;ENCONTRADO;03/04/2023
EL ORO;-3,25327207;-79,94010150;23;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/01/2023;ENCONTRADO;18/01/2023
GUAYAS;-2,06805461;-79,93312218;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/01/2023;ENCONTRADO;10/01/2023
GUAYAS;-2,20155510;-79,89668350;30;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;04/01/2023;ENCONTRADO;17/01/2023
EL ORO;-3,25661572;-79,94485439;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/01/2023;ENCONTRADO;17/01/2023
COTOPAXI;-1,09646430;-78,60298620;63;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;15/01/2023;ENCONTRADO;05/02/2023
PICHINCHA;0,04110160;-78,20773680;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/01/2023;ENCONTRADO;18/01/2023
COTOPAXI;-0,84931808;-78,66311796;13;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/01/2023;ENCONTRADO;17/01/2023
PICHINCHA;0,04532580;-78,14504810;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/01/2023;ENCONTRADO;18/01/2023
LOJA;-3,99520650;-79,20221230;34;HOMBRE;FALLECIDO;ASESINATO;07/01/2023;FALLECIDO;12/01/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,27006032;-79,16352834;23;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;20/02/2023;ENCONTRADO;05/03/2023
PICHINCHA;-0,19182870;-78,51141850;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/02/2023;ENCONTRADO;07/03/2023
ORELLANA;-0,46167280;-76,99310740;35;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/03/2023;ENCONTRADO;07/03/2023
GUAYAS;-2,14007449;-79,86474910;28;HOMBRE;FALLECIDO;NO DETERMINADA;16/03/2023;FALLECIDO;17/03/2023
PICHINCHA;-0,29492170;-78,56288970;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;04/05/2023;ENCONTRADO;02/06/2023
GUAYAS;-2,13483641;-79,31032438;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/03/2023;ENCONTRADO;25/03/2023
PICHINCHA;0,04110160;-78,20773680;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;04/01/2023;ENCONTRADO;18/01/2023
IMBABURA;0,34262439;-78,18700384;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/01/2023;ENCONTRADO;17/01/2023
GUAYAS;-2,14487790;-79,60388420;58;HOMBRE;EXTRAVIADA;HOSPITALIZADO;10/01/2023;ENCONTRADO;18/01/2023
BOLIVAR;-1,59170274;-79,03335238;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/01/2023;ENCONTRADO;18/01/2023
GUAYAS;-2,16359552;-79,44609400;51;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;08/01/2023;ENCONTRADO;18/01/2023
PICHINCHA;0,04532580;-78,14504810;10;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/01/2023;ENCONTRADO;18/01/2023
IMBABURA;0,32047800;-78,12315630;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/01/2023;ENCONTRADO;12/01/2023
BOLIVAR;-1,59757006;-78,96793152;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/01/2023;ENCONTRADO;18/01/2023
MANABI;0,16305500;-79,94322500;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/01/2023;ENCONTRADO;17/01/2023
PICHINCHA;-0,09742593;-78,52242643;28;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;04/03/2023;ENCONTRADO;06/03/2023
PICHINCHA;-0,33016260;-78,45107290;36;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;22/01/2023;ENCONTRADO;28/03/2023
ESMERALDAS;0,32700017;-79,47393634;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/03/2023;ENCONTRADO;21/04/2023
PICHINCHA;-0,23202590;-78,33695540;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/03/2023;ENCONTRADO;28/03/2023
PICHINCHA;-0,09404920;-78,45101010;15;HOMBRE;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;12/05/2023;ENCONTRADO;08/06/2023
LOJA;-4,00031819;-79,19889373;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/03/2023;ENCONTRADO;28/03/2023
MANABI;-0,96022400;-80,81314800;15;MUJER;PROBLEMAS FAMILIARES;MALTRATO SEXUAL;09/01/2023;ENCONTRADO;18/01/2023
EL ORO;-3,23167037;-79,94633857;38;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;04/03/2023;ENCONTRADO;06/03/2023
TUNGURAHUA;-1,32745990;-78,52739510;59;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/01/2023;ENCONTRADO;19/01/2023
PICHINCHA;-0,23760340;-78,49024520;62;HOMBRE;FALLECIDO;SUICIDIO;14/01/2023;FALLECIDO;19/01/2023
COTOPAXI;-0,71705943;-79,11367035;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;07/01/2023;ENCONTRADO;19/01/2023
MANABI;-0,33684247;-79,60972622;17;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/01/2023;ENCONTRADO;19/01/2023
GUAYAS;-2,10351710;-79,95593160;30;HOMBRE;SIN_DATO;SIN_DATO;09/05/2023;DESAPARECIDO;SIN_DATO
AZUAY;-2,89542384;-79,05857205;13;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;18/01/2023;ENCONTRADO;19/01/2023
MANABI;-0,78422080;-80,23433020;13;MUJER;PROBLEMAS FAMILIARES;MALTRATO SEXUAL;12/01/2023;ENCONTRADO;18/01/2023
PICHINCHA;-0,24526600;-78,52349030;12;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;07/01/2023;ENCONTRADO;18/01/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,26026760;-79,20966460;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/01/2023;ENCONTRADO;16/01/2023
COTOPAXI;-0,94260134;-78,68327203;33;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;16/01/2023;ENCONTRADO;19/01/2023
COTOPAXI;-0,84000481;-78,66614251;25;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/01/2023;ENCONTRADO;19/01/2023
COTOPAXI;-0,94119490;-79,23160420;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/01/2023;ENCONTRADO;19/01/2023
IMBABURA;0,23396678;-78,28106462;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/01/2023;ENCONTRADO;19/01/2023
PASTAZA;-1,47947312;-78,01176509;5;HOMBRE;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;05/03/2023;ENCONTRADO;06/03/2023
MORONA SANTIAGO;-1,69711802;-77,97005653;13;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;17/01/2023;ENCONTRADO;19/01/2023
PICHINCHA;-0,21072520;-78,44108950;51;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;18/01/2023;ENCONTRADO;20/01/2023
PICHINCHA;-0,21072520;-78,44108950;44;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;18/01/2023;ENCONTRADO;20/01/2023
PASTAZA;-1,47947312;-78,01176509;7;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;05/03/2023;ENCONTRADO;06/03/2023
MANABI;-0,27143620;-79,46476330;22;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/03/2023;ENCONTRADO;28/03/2023
PICHINCHA;0,07575130;-78,12306720;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/01/2023;ENCONTRADO;23/01/2023
PICHINCHA;-0,11910413;-78,46520394;46;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;21/04/2023;ENCONTRADO;22/04/2023
CHIMBORAZO;-1,69099597;-78,63160115;51;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/03/2023;ENCONTRADO;21/03/2023
PICHINCHA;-0,09604880;-78,42403280;15;MUJER;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;19/01/2023;ENCONTRADO;19/01/2023
